Name,Center_1,Center_2,Instruction
IMG_20181116_130620.jpg,1953.0,2835.0,Continue
IMG_20181116_130624.jpg,1323.0,2583.0,Continue
IMG_20181116_130634.jpg,1071.0,3213.0,Continue
IMG_20181116_130637.jpg,441.0,1701.0,Continue
IMG_20181116_130640.jpg,693.0,3339.0,Continue
IMG_20181116_130641.jpg,693.0,3465.0,Continue
IMG_20181116_130655.jpg,1953.0,2961.0,Continue
IMG_20181116_130659.jpg,441.0,945.0,Continue
IMG_20181116_130702.jpg,2079.0,2709.0,Continue
IMG_20181116_130706.jpg,945.0,819.0,Continue
IMG_20181116_130708.jpg,1323.0,2835.0,Continue
IMG_20181116_130710.jpg,1701.0,693.0,Continue
IMG_20181116_130729.jpg,567.0,567.0,Continue
IMG_20181116_130732.jpg,2331.0,693.0,Continue
IMG_20181116_130735.jpg,1953.0,3087.0,Continue
IMG_20181116_130738.jpg,1197.0,693.0,Continue
IMG_20181116_130743.jpg,2079.0,3213.0,Continue
IMG_20181116_130745.jpg,945.0,1953.0,Continue
IMG_20181116_130748.jpg,1197.0,693.0,Continue
IMG_20181116_130749.jpg,1575.0,2457.0,Plument.
IMG_20181116_130839.jpg,567.0,1953.0,Continue
IMG_20181116_130842.jpg,2961.0,693.0,Continue
IMG_20181116_130846.jpg,819.0,945.0,Continue
IMG_20181116_130849.jpg,2205.0,2331.0,Continue
IMG_20181116_130851.jpg,1953.0,1449.0,Plument.
IMG_20181116_130853.jpg,2331.0,1197.0,Plument.
IMG_20181116_130855.jpg,1827.0,1827.0,Plument.
IMG_20181116_130859.jpg,1701.0,945.0,Continue
IMG_20181116_130901.jpg,1071.0,1449.0,Continue
IMG_20181116_130950.jpg,2457.0,1953.0,Continue
IMG_20181116_130953.jpg,3339.0,945.0,Continue
IMG_20181116_130958.jpg,1071.0,2079.0,Continue
IMG_20181116_131000.jpg,2205.0,1449.0,Plument.
IMG_20181116_131003.jpg,3339.0,819.0,Continue
IMG_20181116_131026.jpg,1827.0,3213.0,Continue
IMG_20181116_131030.jpg,1575.0,1575.0,Plument.
IMG_20181116_131032.jpg,945.0,2709.0,Continue
IMG_20181116_131033.jpg,819.0,2961.0,Continue
IMG_20181116_131036.jpg,1701.0,1197.0,Continue
IMG_20181116_131042.jpg,1827.0,441.0,Continue
IMG_20181116_131045.jpg,693.0,1701.0,Continue
IMG_20181116_131049.jpg,2583.0,693.0,Continue
IMG_20181116_131053.jpg,567.0,1953.0,Continue
IMG_20181116_131055.jpg,2961.0,1701.0,Continue
IMG_20181116_131212.jpg,693.0,945.0,Continue
IMG_20181116_131216.jpg,315.0,3213.0,Continue
IMG_20181116_131218.jpg,1197.0,819.0,Continue
IMG_20181116_131221.jpg,1071.0,3087.0,Continue
IMG_20181116_131224.jpg,693.0,2205.0,Continue
IMG_20181116_131225.jpg,945.0,2205.0,Continue
IMG_20181116_131227.jpg,1323.0,2961.0,Continue
IMG_20181116_131232.jpg,819.0,2457.0,Continue
IMG_20181116_131651.jpg,1701.0,1323.0,Continue
IMG_20181116_131654.jpg,945.0,3213.0,Continue
IMG_20181116_131655.jpg,1701.0,3213.0,Continue
IMG_20181116_131658.jpg,945.0,1071.0,Continue
IMG_20181116_131700.jpg,1953.0,2709.0,Continue
IMG_20181116_131702.jpg,567.0,1449.0,Continue
IMG_20181116_131705.jpg,1323.0,3087.0,Continue
IMG_20181116_131707.jpg,567.0,945.0,Continue
IMG_20181116_131715.jpg,1197.0,3213.0,Continue
IMG_20181116_131717.jpg,2205.0,2457.0,Continue
IMG_20181116_131720.jpg,945.0,1197.0,Continue
IMG_20181116_131722.jpg,2205.0,1197.0,Continue
IMG_20181116_131725.jpg,1071.0,3213.0,Continue
IMG_20181116_131726.jpg,2205.0,3213.0,Continue
IMG_20181116_131812.jpg,693.0,945.0,Continue
IMG_20181116_131815.jpg,1701.0,2709.0,Continue
IMG_20181116_131817.jpg,693.0,1953.0,Continue
IMG_20181116_131819.jpg,1953.0,2835.0,Continue
IMG_20181116_131821.jpg,1827.0,945.0,Continue
IMG_20181116_131824.jpg,2835.0,1953.0,Continue
IMG_20181116_131826.jpg,1953.0,2961.0,Continue
IMG_20181116_131830.jpg,945.0,819.0,Continue
IMG_20181116_131832.jpg,693.0,2583.0,Continue
IMG_20181116_131835.jpg,1953.0,2961.0,Continue
IMG_20181116_131838.jpg,693.0,1071.0,Continue
IMG_20181116_131841.jpg,693.0,3213.0,Continue
IMG_20181116_131844.jpg,1953.0,3213.0,Continue
IMG_20181116_132000.jpg,2835.0,2079.0,Continue
IMG_20181116_132002.jpg,2835.0,2079.0,Continue
IMG_20181116_132004.jpg,2205.0,2079.0,Continue
IMG_20181116_132007.jpg,693.0,1827.0,Continue
IMG_20181116_132011.jpg,1701.0,2457.0,Plument.
IMG_20181116_132013.jpg,1701.0,1197.0,Continue
IMG_20181116_132015.jpg,693.0,2961.0,Continue
IMG_20181116_132017.jpg,2331.0,2205.0,Continue
IMG_20181123_151204.jpg,1575.0,2457.0,Plument.
IMG_20181123_151207.jpg,2079.0,3213.0,Continue
IMG_20181123_151208.jpg,2205.0,3591.0,Continue
IMG_20181123_151209.jpg,1197.0,2079.0,Plument.
IMG_20181123_151210.jpg,1323.0,2079.0,Plument.
IMG_20181123_151216.jpg,1449.0,3087.0,Continue
IMG_20181123_151218.jpg,1449.0,945.0,Continue
IMG_20181123_151220.jpg,2205.0,2709.0,Continue
IMG_20181123_151222.jpg,2709.0,1827.0,Continue
IMG_20181123_151224.jpg,1071.0,2205.0,Plument.
IMG_20181123_151249.jpg,1701.0,2079.0,Plument.
IMG_20181123_151250.jpg,2205.0,2583.0,Continue
IMG_20181123_151252.jpg,567.0,1197.0,Continue
IMG_20181123_151254.jpg,567.0,2079.0,Continue
IMG_20181123_151256.jpg,2205.0,1575.0,Continue
IMG_20181123_151257.jpg,2457.0,1071.0,Continue
IMG_20181123_151421.jpg,1953.0,2961.0,Continue
IMG_20181123_151425.jpg,2457.0,819.0,Continue
IMG_20181123_151426.jpg,1449.0,1575.0,Plument.
IMG_20181123_151429.jpg,2457.0,819.0,Continue
IMG_20181123_151430.jpg,1449.0,2457.0,Plument.
IMG_20181123_151455.jpg,1071.0,1953.0,Continue
IMG_20181123_151456.jpg,2079.0,1953.0,Plument.
IMG_20181123_151458.jpg,2079.0,1575.0,Plument.
IMG_20181123_151459.jpg,2457.0,2457.0,Continue
IMG_20181123_151500.jpg,1827.0,2205.0,Continue
IMG_20181123_151502.jpg,1071.0,2331.0,Continue
IMG_20181123_151721.jpg,1953.0,3465.0,Continue
IMG_20181123_151723.jpg,1827.0,3213.0,Continue
IMG_20181123_151724.jpg,441.0,2709.0,Continue
IMG_20181123_151727.jpg,2331.0,819.0,Continue
IMG_20181123_151729.jpg,2079.0,1071.0,Continue
IMG_20181123_151731.jpg,2457.0,1575.0,Continue
IMG_20181123_151750.jpg,1071.0,2961.0,Continue
IMG_20181123_151755.jpg,2205.0,2709.0,Continue
IMG_20181123_151757.jpg,1197.0,693.0,Continue
IMG_20181123_151801.jpg,567.0,2961.0,Continue
IMG_20181123_151805.jpg,2079.0,945.0,Continue
IMG_20181123_151807.jpg,693.0,1953.0,Continue
IMG_20181123_151811.jpg,1071.0,3339.0,Continue
IMG_20181123_151830.jpg,2835.0,2079.0,Continue
IMG_20181123_151831.jpg,1323.0,2583.0,Continue
IMG_20181123_151832.jpg,2709.0,1575.0,Continue
IMG_20181123_151834.jpg,2457.0,1449.0,Continue
IMG_20181123_151836.jpg,2709.0,2331.0,Continue
IMG_20181123_151836_1.jpg,1575.0,1323.0,Continue
IMG_20181123_151837.jpg,2583.0,2079.0,Continue
IMG_20181123_151838.jpg,315.0,2079.0,Continue
